0.33071,0.40651,1.0657
0.32798,0.39079,1.0596
0.32828,0.37666,1.0482
0.32651,0.36702,1.0649
0.33051,0.35323,1.064
0.3232,0.3344,1.0439
0.3185,0.31527,1.0237
0.31939,0.30224,1.0336
0.33223,0.30272,1.0631
0.33584,0.29422,1.0825
0.33776,0.28293,1.0835
0.32612,0.2579,1.0488
0.33343,0.25397,1.0735
0.32905,0.23303,1.058
0.32485,0.22155,1.0488
0.3276,0.20665,1.0526
0.33178,0.1992,1.0681
0.33034,0.18257,1.0654
0.32881,0.17111,1.0535
0.33031,0.15749,1.0593
0.31565,0.13964,1.0196
0.32917,0.13087,1.0587
0.32495,0.11749,1.0478
0.31137,0.098985,1.0027
0.32228,0.09111,1.0416
0.32211,0.076313,1.0436
0.31418,0.063962,1.0147
0.31153,0.04884,1.0089
0.31162,0.038601,1.0001
0.31583,0.0247,1.0173
0.308,0.013769,0.98861
0.30846,-0.00038312,0.98648
0.31349,-0.010816,1.0058
0.30653,-0.02469,0.98858
0.31846,-0.036496,1.0254
0.31322,-0.050128,1.0045
0.311,-0.060228,1.003
0.30596,-0.073245,0.98504
0.29988,-0.082014,0.96724
0.29906,-0.095303,0.95801
0.29808,-0.10507,0.95776
0.2939,-0.11668,0.94208
0.29268,-0.1269,0.94175
0.29186,-0.1397,0.93387
0.28421,-0.14559,0.91366
0.29089,-0.1622,0.94012
0.28042,-0.16676,0.90669
0.28471,-0.18031,0.91149
0.29583,-0.19872,0.95553
0.31028,-0.22205,0.9977
0.31189,-0.23287,0.99596
0.26222,-0.2076,0.8434
0.18253,-0.1511,0.58538
0.17499,-0.15208,0.56056
0.16926,-0.15259,0.54405
0.16833,-0.16027,0.54134
0.16424,-0.16118,0.52231
0.16331,-0.16738,0.52023
0.15949,-0.16961,0.51087
0.15926,-0.17605,0.50792
0.15696,-0.17841,0.49918
0.15635,-0.1863,0.50152
0.15432,-0.18867,0.49428
0.15553,-0.19612,0.4979
0.32477,0.41842,1.0868
0.32263,0.39752,1.0793
0.32265,0.38753,1.0775
0.32461,0.37249,1.0841
0.32265,0.36238,1.0873
0.32382,0.34445,1.0882
0.32342,0.33425,1.0854
